@relation eiei
@attribute tagged-6 {O, org_start, org_cont, org_end ,org, per, per_start, per_cont, per_end}
@attribute dict_pre_org-6 {True, False}
@attribute dict_pre_per-6 {True, False}
@attribute dict_sub_per-6 {True, False}
@attribute dict_common-6 {True, False}
@attribute tagged-5 {O, org_start, org_cont, org_end ,org, per, per_start, per_cont, per_end}
@attribute dict_pre_org-5 {True, False}
@attribute dict_pre_per-5 {True, False}
@attribute dict_sub_per-5 {True, False}
@attribute dict_common-5 {True, False}
@attribute tagged-4 {O, org_start, org_cont, org_end ,org, per, per_start, per_cont, per_end}
@attribute dict_pre_org-4 {True, False}
@attribute dict_pre_per-4 {True, False}
@attribute dict_sub_per-4 {True, False}
@attribute dict_common-4 {True, False}
@attribute tagged-3 {O, org_start, org_cont, org_end ,org, per, per_start, per_cont, per_end}
@attribute dict_pre_org-3 {True, False}
@attribute dict_pre_per-3 {True, False}
@attribute dict_sub_per-3 {True, False}
@attribute dict_common-3 {True, False}
@attribute tagged-2 {O, org_start, org_cont, org_end ,org, per, per_start, per_cont, per_end}
@attribute dict_pre_org-2 {True, False}
@attribute dict_pre_per-2 {True, False}
@attribute dict_sub_per-2 {True, False}
@attribute dict_common-2 {True, False}
@attribute tagged-1 {O, org_start, org_cont, org_end ,org, per, per_start, per_cont, per_end}
@attribute dict_pre_org-1 {True, False}
@attribute dict_pre_per-1 {True, False}
@attribute dict_sub_per-1 {True, False}
@attribute dict_common-1 {True, False}
@attribute tagged0 {O, org_start, org_cont, org_end ,org, per, per_start, per_cont, per_end}
@attribute dict_pre_org0 {True, False}
@attribute dict_pre_per0 {True, False}
@attribute dict_sub_per0 {True, False}
@attribute dict_common0 {True, False}
@attribute tagged1 {O, org_start, org_cont, org_end ,org, per, per_start, per_cont, per_end}
@attribute dict_pre_org1 {True, False}
@attribute dict_pre_per1 {True, False}
@attribute dict_sub_per1 {True, False}
@attribute dict_common1 {True, False}
@attribute tagged2 {O, org_start, org_cont, org_end ,org, per, per_start, per_cont, per_end}
@attribute dict_pre_org2 {True, False}
@attribute dict_pre_per2 {True, False}
@attribute dict_sub_per2 {True, False}
@attribute dict_common2 {True, False}
@attribute tagged3 {O, org_start, org_cont, org_end ,org, per, per_start, per_cont, per_end}
@attribute dict_pre_org3 {True, False}
@attribute dict_pre_per3 {True, False}
@attribute dict_sub_per3 {True, False}
@attribute dict_common3 {True, False}
@attribute tagged4 {O, org_start, org_cont, org_end ,org, per, per_start, per_cont, per_end}
@attribute dict_pre_org4 {True, False}
@attribute dict_pre_per4 {True, False}
@attribute dict_sub_per4 {True, False}
@attribute dict_common4 {True, False}
@attribute tagged5 {O, org_start, org_cont, org_end ,org, per, per_start, per_cont, per_end}
@attribute dict_pre_org5 {True, False}
@attribute dict_pre_per5 {True, False}
@attribute dict_sub_per5 {True, False}
@attribute dict_common5 {True, False}
@attribute tagged6 {O, org_start, org_cont, org_end ,org, per, per_start, per_cont, per_end}
@attribute dict_pre_org6 {True, False}
@attribute dict_pre_per6 {True, False}
@attribute dict_sub_per6 {True, False}
@attribute dict_common6 {True, False}
@attribute class {O, org_start, org_cont, org_end ,org, per, per_start, per_cont, per_end}
@data
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org_start',False,False,False,False,'org_end',False,False,False,True,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org_start'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org_start',False,False,False,False,'org_end',False,False,False,True,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org_end'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org_start',False,False,False,False,'org_end',False,False,False,True,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org_start',False,False,False,False,'org_end',False,False,False,True,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'org_start',False,False,False,False,'org_end',False,False,False,True,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'org_start',False,False,False,False,'org_end',False,False,False,True,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'org_start',False,False,False,False,'org_end',False,False,False,True,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'org_end',False,False,False,True,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'per',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'per',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'per',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'per',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'per',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'per',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'per',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'per'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'per',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'per',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'per',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'per',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'per',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'per',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org_start',False,False,False,True,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org_start',False,False,False,True,'org_cont',False,True,False,True,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org_start',False,False,False,True,'org_cont',False,True,False,True,'org_end',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org_start',False,False,False,True,'org_cont',False,True,False,True,'org_end',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org_start',False,False,False,True,'org_cont',False,True,False,True,'org_end',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org_start',False,False,False,True,'org_cont',False,True,False,True,'org_end',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org_start',False,False,False,True,'org_cont',False,True,False,True,'org_end',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org_start',False,False,False,True,'org_start'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org_start',False,False,False,True,'org_cont',False,True,False,True,'org_end',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org_start',False,False,False,True,'org_end',False,False,False,False,'org_cont'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org_start',False,False,False,True,'org_cont',False,True,False,True,'org_end',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org_start',False,False,False,True,'org_end',False,False,False,False,'O',False,False,False,False,'org_end'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org_start',False,False,False,True,'org_cont',False,True,False,True,'org_end',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org_start',False,False,False,True,'org_end',False,False,False,False,'O',False,False,False,False,'org',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'org_start',False,False,False,True,'org_cont',False,True,False,True,'org_end',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org_start',False,False,False,True,'org_end',False,False,False,False,'O',False,False,False,False,'org',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'org_start',False,False,False,True,'org_cont',False,True,False,True,'org_end',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org_start',False,False,False,True,'org_end',False,False,False,False,'O',False,False,False,False,'org',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'org_start',False,False,False,True,'org_cont',False,True,False,True,'org_end',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org_start',False,False,False,True,'org_end',False,False,False,False,'O',False,False,False,False,'org',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org_start'
'org_cont',False,True,False,True,'org_end',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org_start',False,False,False,True,'org_end',False,False,False,False,'O',False,False,False,False,'org',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org_end'
'org_end',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org_start',False,False,False,True,'org_end',False,False,False,False,'O',False,False,False,False,'org',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org_start',False,False,False,True,'org_end',False,False,False,False,'O',False,False,False,False,'org',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org'
'O',False,False,False,False,'O',False,False,False,False,'org_start',False,False,False,True,'org_end',False,False,False,False,'O',False,False,False,False,'org',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'org_start',False,False,False,True,'org_end',False,False,False,False,'O',False,False,False,False,'org',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'org_start',False,False,False,True,'org_end',False,False,False,False,'O',False,False,False,False,'org',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org',False,False,False,False,'O'
'org_end',False,False,False,False,'O',False,False,False,False,'org',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'org',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'org',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'org',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'org',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'org',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'per',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'per',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'per',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'per',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'per',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O'
'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'per',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'O',False,False,False,False,'org',False,False,False,False,'O'
